alvo_data,teimosinha_n,min_hits,custo15,custo_total,payout_total,profit,PASS,win_at,best_hits
06/05/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
07/05/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
09/05/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
10/05/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
11/05/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
12/05/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
13/05/2022,37,14,2.5,370.0,0.0,-370.0,False,,11
14/05/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
16/05/2022,37,14,2.5,370.0,0.0,-370.0,False,,11
17/05/2022,37,14,2.5,370.0,0.0,-370.0,False,,11
